Country	cholesterolWomen2002	cholesterolWomen2002mg	cholesterolWomen2005	cholesterolWomen2005mg	cholesterolWomen2010	cholesterolWomen2010mg	cholesterolMen2002	cholesterolMen2002mg	cholesterolMen2005	cholesterolMen2005mg	cholesterolMen2010	cholesterolMen2010mg	CancerMortality2012	CancerIncidence2012	Percent_total_energy_from_saturated_fat	CHD	Stroke	OtherCVD
Albania	5.1	197	5.1	197	5.1	197	5.2	201	5.2	201	5.2	201	164.2	247.1	9.2	1107	1006	884
Armenia	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7.3	1750	855	413
Austria	5.5	212	5.5	212	5.4	208	5.5	212	5.4	208	5.3	204	157.8	355.5	13.9	579	349	431
Azerbaijan	null	null	null	null	null	null	null	null	null	null	null	null	null	null	5.7	2316	767	795
Belarus	5.3	204	5.3	204	5.3	204	6	232	6	232	6	232	170.8	297.5	10.2	2497	1239	543
Belgium	5.6	216	5.5	212	5.4	208	5.5	212	5.5	212	5.4	208	176.8	446.3	14.5	512	356	321
Bosnia_Herzegovina	null	null	null	null	null	null	null	null	null	null	null	null	null	null	3.9	925	1107	1514
Bulgaria	5.9	228	5.9	228	5.9	228	5.7	220	5.7	220	5.7	220	171.9	320.1	9.8	1344	1188	1485
Croatia	5.4	208	5.3	204	5.2	201	5.5	212	5.5	212	5.4	208	203.6	374.2	7.1	973	989	570
Denmark	5.3	204	5.2	201	5.1	197	5.4	208	5.4	208	5.3	204	191.5	478.3	12.6	478	401	359
Estonia	5.3	204	5.2	201	5.2	201	5.2	201	5	193	5	193	183.6	341.1	10.6	1449	819	714
Finland	5.3	204	5.2	201	5.1	197	5.4	208	5.3	204	5.2	201	131.8	363.9	14.4	687	411	299
France	5.4	208	5.3	204	5.2	201	5.5	212	5.4	208	5.3	204	162.3	420.6	15.5	259	271	360
Georgia	null	null	null	null	null	null	null	null	null	null	null	null	null	null	5.2	2103	1552	504
Germany	5.8	224	5.7	220	5.6	216	5.7	220	5.7	220	5.6	216	152.8	396.2	13.7	574	338	481
Greece	4.7	181	4.7	181	4.6	177	4.8	185	4.8	185	4.7	181	150.8	234.7	11.1	620	592	454
Hungary	5.1	197	5.1	197	5.1	197	5.4	208	5.4	208	5.4	208	221.6	392.5	11.8	1137	731	654
Iceland	5.5	212	5.4	208	5.3	204	5.7	220	5.6	216	5.5	212	139.1	407.3	14.6	470	278	176
Ireland	5.4	208	5.4	208	5.3	204	5.6	216	5.5	212	5.4	208	166.5	435.1	13.5	671	361	359
Israel	null	null	null	null	null	null	null	null	null	null	null	null	null	null	8.8	370	214	284
Italy	5.1	197	5.1	197	5	193	5.2	201	5.2	201	5.1	197	155.5	385.1	11.8	409	335	363
Kazakhstan	null	null	null	null	null	null	null	null	null	null	null	null	null	null	8.1	2452	1469	1326
Kyrgyzstan	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7.8	1885	1939	687
Latvia	5.3	204	5.3	204	5.3	204	5.3	204	5.3	204	5.3	204	188.2	345.4	9.1	1606	1102	803
Lithuania	5.4	208	5.4	208	5.4	208	5.3	204	5.3	204	5.3	204	189.5	352.1	7.7	1444	620	608
Macedonia	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7.5	838	1066	1043
Malta	5.9	228	5.9	228	5.8	224	5.7	220	5.7	220	5.6	216	140.1	346.0	9.5	709	365	235
Moldova	5	193	5	193	5	193	5	193	5	193	5	193	168.7	266.7	5.8	1922	1327	312
Netherlands	5	193	4.9	189	4.8	185	4.9	189	4.8	185	4.7	181	178.7	426.9	14.6	460	329	411
Norway	6.1	235	6	232	5.9	228	5.7	220	5.6	216	5.5	212	154.1	451.2	13.1	503	309	267
Poland	5.1	197	5.1	197	5.1	197	5.2	201	5.2	201	5.2	201	193.8	323.4	10.7	949	598	657
Portugal	5.1	197	5.1	197	5	193	5.3	204	5.2	201	5.1	197	146.9	336.5	10.6	431	836	301
Romania	5	193	5	193	5	193	5.1	197	5.1	197	5.1	197	181.4	307.2	8.3	1176	1162	793
Russian_Federation	null	null	null	null	null	null	null	null	null	null	null	null	null	null	8.3	2630	1747	1174
Slovakia	5.1	197	5.1	197	5.1	197	5	193	5	193	5	193	187.2	389.5	10.7	1037	387	795
Slovenia	5.3	204	5.2	201	5.1	197	5.3	204	5.2	201	5.1	197	190.9	411.3	10	552	524	492
Spain	5.1	197	5.1	197	5	193	5.1	197	5.1	197	5	193	147.5	346.4	10.9	368	294	274
Sweden	5.3	204	5.2	201	5.1	197	5.3	204	5.2	201	5.1	197	143.1	379.1	12.8	506	300	284
Switzerland	5.3	204	5.2	201	5.1	197	5.3	204	5.1	197	5	193	140.5	401.1	15.3	380	200	318
Tajikistan	null	null	null	null	null	null	null	null	null	null	null	null	null	null	5.4	1886	571	1912
Turkey	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7	1332	1132	790
Turkmenistan	null	null	null	null	null	null	null	null	null	null	null	null	null	null	10.1	2860	620	2825
Ukraine	5.2	201	5.2	201	5.2	201	5.1	197	5.1	197	5.1	197	157.9	260.4	7.6	2539	1207	633
United_Kingdom	null	null	null	null	null	null	null	null	null	null	null	null	null	null	13.5	657	359	298
Uzbekistan	null	null	null	null	null	null	null	null	null	null	null	null	null	null	9.2	1907	975	1159
